Order_ID,Product_ID,Quantity,Revenue
97,7,4,116724
97,8,3,130614
98,4,4,119024
98,9,3,134595
99,9,5,224325
99,4,5,148780
99,9,2,89730
99,2,2,36830
100,6,2,40946
100,1,1,47970
100,7,5,145905
100,3,3,116319
101,3,5,193865
101,10,2,96776
101,7,3,87543
102,1,4,191880
102,10,3,145164
102,6,1,20473
102,1,2,95940
103,10,1,48388
103,4,5,148780
104,1,4,191880
104,7,3,87543
104,5,4,150876
104,6,4,81892
105,10,4,193552
105,3,3,116319
105,10,4,193552
105,2,2,36830
106,6,1,20473
106,7,4,116724
107,5,1,37719
107,5,2,75438
107,1,1,47970
107,5,1,37719
108,7,1,29181
108,6,4,81892
109,2,5,92075
109,4,4,119024
109,8,3,130614
110,3,1,38773
110,6,4,81892
110,8,1,43538
110,1,3,143910
111,6,2,40946
112,1,5,239850
113,10,3,145164
114,3,4,155092
114,8,2,87076
114,4,4,119024
115,8,5,217690
115,8,4,174152
115,5,2,75438
115,1,5,239850
116,6,5,102365
116,9,5,224325
116,4,5,148780
117,5,2,75438
117,5,4,150876
117,6,3,61419
118,10,3,145164
118,3,3,116319
118,9,4,179460
118,2,5,92075
119,3,1,38773
119,3,4,155092
119,5,5,188595
119,8,1,43538
120,2,3,55245
120,1,3,143910
120,7,5,145905
120,6,2,40946
121,5,2,75438
121,8,5,217690
122,4,5,148780
122,4,5,148780
123,7,4,116724
123,7,3,87543
123,6,4,81892
124,1,2,95940
124,9,2,89730
124,7,2,58362
125,2,3,55245
125,8,4,174152
125,3,4,155092
125,1,1,47970
126,4,1,29756
127,4,4,119024
127,2,2,36830
128,1,2,95940
128,10,3,145164
129,6,2,40946
130,3,1,38773
131,3,2,77546
131,6,1,20473
131,3,4,155092
132,7,4,116724
133,3,4,155092
134,3,5,193865
134,7,4,116724
135,5,4,150876
135,3,4,155092
135,8,2,87076
136,3,4,155092
136,1,4,191880
137,10,4,193552
137,2,4,73660
137,4,4,119024
138,7,3,87543
139,4,3,89268
139,5,1,37719
140,9,3,134595
140,5,4,150876
140,6,3,61419
141,6,1,20473
141,3,3,116319
141,1,5,239850
141,8,1,43538
142,5,2,75438
142,3,2,77546
142,3,3,116319
142,10,1,48388
143,1,5,239850
144,1,2,95940
144,2,3,55245
144,3,2,77546
144,6,1,20473
145,3,5,193865
145,3,3,116319
146,8,1,43538
147,6,5,102365
148,3,5,193865
149,3,4,155092
149,3,5,193865
149,7,1,29181
150,4,3,89268
150,9,5,224325
150,9,3,134595
151,5,2,75438
151,7,3,87543
151,2,2,36830
152,2,2,36830
152,1,2,95940
152,6,5,102365
152,2,1,18415
153,7,3,87543
154,5,5,188595
154,6,2,40946
154,1,3,143910
155,1,3,143910
155,9,5,224325
155,7,5,145905
156,7,4,116724
156,5,4,150876
157,9,3,134595
157,5,2,75438
157,1,2,95940
158,4,2,59512
159,1,4,191880
159,6,1,20473
159,7,1,29181
160,5,3,113157
160,7,5,145905
161,9,4,179460
162,1,3,143910
163,7,2,58362
163,2,4,73660
164,6,1,20473
164,2,3,55245
165,10,1,48388
165,4,1,29756
166,4,4,119024
166,1,3,143910
166,1,4,191880
167,8,3,130614
167,3,1,38773
168,7,5,145905
168,8,2,87076
169,3,1,38773
169,9,4,179460
170,5,5,188595
170,7,3,87543
170,5,3,113157
171,10,4,193552
172,7,3,87543
172,10,3,145164
172,3,5,193865
173,2,4,73660
174,8,4,174152
174,8,2,87076
175,5,2,75438
176,5,1,37719
176,6,4,81892
176,1,1,47970
176,8,3,130614
177,6,2,40946
178,10,3,145164
178,7,1,29181
179,9,2,89730
179,8,4,174152
180,2,5,92075
180,3,4,155092
180,7,5,145905
181,6,2,40946
181,10,3,145164
181,2,4,73660
182,3,5,193865
182,6,3,61419
182,3,5,193865
182,10,4,193552
183,1,3,143910
183,7,2,58362
184,5,2,75438
185,1,2,95940
185,4,4,119024
186,8,4,174152
186,10,3,145164
186,4,3,89268
186,3,5,193865
187,9,5,224325
187,10,4,193552
187,10,2,96776
188,1,4,191880
189,7,2,58362
189,9,4,179460
189,7,3,87543
189,2,3,55245
190,9,2,89730
191,3,3,116319
191,10,1,48388
191,3,4,155092
191,5,3,113157
192,7,3,87543
192,10,2,96776
192,9,2,89730
192,3,1,38773
193,8,1,43538
194,10,1,48388
195,4,2,59512
195,7,5,145905
195,6,2,40946
196,10,3,145164
196,8,5,217690
196,5,1,37719
197,8,1,43538
197,4,5,148780
197,4,2,59512
198,8,4,174152
198,5,5,188595
198,6,3,61419
198,2,3,55245
199,2,4,73660
199,9,2,89730
200,5,2,75438
200,5,3,113157
201,2,2,36830
201,8,4,174152
202,1,2,95940
202,2,4,73660
203,6,3,61419
203,1,2,95940
203,5,5,188595
204,8,3,130614
204,10,2,96776
204,8,3,130614
205,4,2,59512
205,3,1,38773
205,4,4,119024
205,1,3,143910
206,4,1,29756
206,7,5,145905
207,6,2,40946
207,10,3,145164
207,6,2,40946
207,10,5,241940
208,7,2,58362
209,4,3,89268
209,5,3,113157
209,10,1,48388
209,2,3,55245
210,6,2,40946
210,4,1,29756
210,7,4,116724
210,9,2,89730
211,1,2,95940
212,10,5,241940
213,1,4,191880
213,8,5,217690
213,4,1,29756
213,8,1,43538
214,7,4,116724
214,6,2,40946
214,7,5,145905
215,10,2,96776
215,6,2,40946
216,9,1,44865
216,4,1,29756
216,8,5,217690
216,6,2,40946
217,5,4,150876
218,10,1,48388
218,6,2,40946
219,7,3,87543
220,10,4,193552
221,4,3,89268
221,9,1,44865
221,3,2,77546
222,4,4,119024
222,4,3,89268
223,2,4,73660
223,2,1,18415
224,5,3,113157
224,10,5,241940
224,1,1,47970
225,10,3,145164
225,9,3,134595
225,2,5,92075
225,8,2,87076
226,5,1,37719
226,9,1,44865
226,1,3,143910
227,1,3,143910
227,8,1,43538
227,7,2,58362
227,10,2,96776
228,3,4,155092
229,10,1,48388
229,1,2,95940
230,2,1,18415
231,6,1,20473
231,5,4,150876
231,6,3,61419
232,5,4,150876
232,4,1,29756
233,4,5,148780
233,1,4,191880
233,1,3,143910
234,1,4,191880
234,8,4,174152
235,9,4,179460
235,7,1,29181
235,9,5,224325
236,3,3,116319
236,1,3,143910
237,8,2,87076
237,5,1,37719
237,10,1,48388
237,6,1,20473
238,3,5,193865
238,8,1,43538
238,2,3,55245
238,9,2,89730
239,8,5,217690
239,2,4,73660
240,8,1,43538
240,3,4,155092
240,4,2,59512
240,1,3,143910
241,6,1,20473
241,8,4,174152
241,3,2,77546
242,10,1,48388
242,2,1,18415
243,7,3,87543
243,10,1,48388
243,10,1,48388
244,4,1,29756
245,1,1,47970
245,1,5,239850
245,10,2,96776
245,5,3,113157
246,3,4,155092
247,2,2,36830
247,2,2,36830
247,2,4,73660
247,9,1,44865
248,10,1,48388
249,7,2,58362
250,9,5,224325
250,10,4,193552
250,7,1,29181
250,3,2,77546
251,9,5,224325
252,9,3,134595
252,10,5,241940
253,9,4,179460
254,7,5,145905
255,2,4,73660
255,2,5,92075
256,5,3,113157
256,9,2,89730
256,10,1,48388
257,10,4,193552
257,3,3,116319
258,8,1,43538
259,3,5,193865
259,6,3,61419
259,10,2,96776
260,7,4,116724
260,10,3,145164
261,1,5,239850
261,3,3,116319
262,5,4,150876
262,5,4,150876
262,5,3,113157
263,4,4,119024
263,9,4,179460
264,7,1,29181
264,5,1,37719
264,6,1,20473
264,7,4,116724
265,5,4,150876
265,6,1,20473
266,7,5,145905
266,3,1,38773
266,5,1,37719
266,1,3,143910
267,1,2,95940
267,3,2,77546
267,7,3,87543
267,9,5,224325
268,6,4,81892
268,5,3,113157
268,8,4,174152
269,6,3,61419
269,9,3,134595
269,9,3,134595
269,5,1,37719
270,7,1,29181
270,5,5,188595
270,8,2,87076
270,9,3,134595
271,2,3,55245
271,5,3,113157
272,10,5,241940
273,9,1,44865
273,8,3,130614
273,4,5,148780
273,7,1,29181
274,9,3,134595
274,6,5,102365
274,7,5,145905
275,5,3,113157
276,5,3,113157
276,7,3,87543
276,9,4,179460
277,2,4,73660
277,10,1,48388
277,7,5,145905
278,1,3,143910
279,2,4,73660
280,5,2,75438
280,1,1,47970
280,10,1,48388
281,6,1,20473
281,3,3,116319
281,6,5,102365
281,4,4,119024
282,6,5,102365
282,1,2,95940
282,6,3,61419
283,5,4,150876
283,4,4,119024
283,9,4,179460
284,4,5,148780
285,4,1,29756
285,2,5,92075
286,9,3,134595
287,5,5,188595
288,2,5,92075
288,1,1,47970
288,4,5,148780
288,8,2,87076
289,8,4,174152
290,2,1,18415
290,9,4,179460
290,7,5,145905
290,3,5,193865
291,7,2,58362
291,8,2,87076
291,5,4,150876
292,4,3,89268
292,2,2,36830
292,9,3,134595
292,6,5,102365
293,3,4,155092
293,5,1,37719
294,9,4,179460
294,10,2,96776
294,2,4,73660
295,10,1,48388
295,4,4,119024
296,1,2,95940
296,6,1,20473
296,1,5,239850
297,3,1,38773
297,9,2,89730
297,2,1,18415
297,9,5,224325
298,8,2,87076
299,1,2,95940
299,8,4,174152
299,1,1,47970
300,2,3,55245
300,4,1,29756
300,6,4,81892
301,5,3,113157
301,9,3,134595
301,3,3,116319
302,6,3,61419
302,4,5,148780
302,4,3,89268
302,8,1,43538
303,2,2,36830
304,4,5,148780
305,6,5,102365
305,1,3,143910
306,9,4,179460
306,10,2,96776
306,4,4,119024
306,10,2,96776
307,5,4,150876
307,5,2,75438
307,10,3,145164
307,6,5,102365
308,5,2,75438
308,5,1,37719
308,10,4,193552
309,2,5,92075
310,3,3,116319
311,6,3,61419
312,5,4,150876
312,3,5,193865
312,7,2,58362
312,8,1,43538
313,5,4,150876
313,6,3,61419
313,5,4,150876
313,9,3,134595
314,4,1,29756
314,4,5,148780
315,5,1,37719
315,6,2,40946
315,3,1,38773
316,5,3,113157
316,8,3,130614
317,4,2,59512
318,5,2,75438
318,8,5,217690
318,7,1,29181
319,10,3,145164
319,10,2,96776
319,8,4,174152
320,8,5,217690
320,2,3,55245
320,2,2,36830
321,2,3,55245
321,9,3,134595
321,8,3,130614
321,5,1,37719
322,10,2,96776
323,1,3,143910
323,9,1,44865
323,6,4,81892
323,10,5,241940
324,5,2,75438
324,3,3,116319
324,8,3,130614
325,2,5,92075
325,5,4,150876
325,6,4,81892
325,2,1,18415
326,7,4,116724
326,6,4,81892
326,4,5,148780
327,3,5,193865
328,8,1,43538
328,7,2,58362
328,3,2,77546
329,5,2,75438
330,2,4,73660
330,2,4,73660
330,6,4,81892
330,6,1,20473
331,9,2,89730
331,9,4,179460
331,1,1,47970
331,5,5,188595
332,4,5,148780
332,7,5,145905
332,10,3,145164
332,7,5,145905
333,7,5,145905
333,8,3,130614
334,7,1,29181
335,4,3,89268
335,8,4,174152
335,3,4,155092
335,3,3,116319
336,8,4,174152
336,2,3,55245
336,9,4,179460
336,8,2,87076
337,1,5,239850
337,1,1,47970
337,1,3,143910
338,8,1,43538
338,10,5,241940
339,1,1,47970
339,3,2,77546
339,8,5,217690
340,7,1,29181
340,10,2,96776
340,2,3,55245
341,10,5,241940
341,2,1,18415
341,10,1,48388
341,6,4,81892
342,7,4,116724
342,8,4,174152
343,6,1,20473
343,3,3,116319
343,3,3,116319
343,9,4,179460
344,2,5,92075
345,3,1,38773
345,8,5,217690
345,5,1,37719
345,5,2,75438
346,5,3,113157
346,4,1,29756
346,7,1,29181
346,3,2,77546
347,7,1,29181
347,10,1,48388
347,3,3,116319
348,7,4,116724
348,10,3,145164
349,6,4,81892
349,3,2,77546
349,7,3,87543
349,6,2,40946
350,10,1,48388
350,3,2,77546
350,6,2,40946
351,8,1,43538
351,1,2,95940
351,2,1,18415
352,6,1,20473
352,7,4,116724
352,5,5,188595
352,7,2,58362
353,3,5,193865
354,3,1,38773
354,10,3,145164
354,4,1,29756
354,2,3,55245
355,10,4,193552
355,2,2,36830
355,5,1,37719
356,5,4,150876
356,1,1,47970
356,10,5,241940
356,3,4,155092
357,8,1,43538
357,6,5,102365
358,5,2,75438
358,8,3,130614
359,2,1,18415
360,6,5,102365
360,5,1,37719
360,10,5,241940
360,9,2,89730
361,4,4,119024
361,4,2,59512
361,9,3,134595
362,4,5,148780
362,1,1,47970
363,5,5,188595
364,3,4,155092
364,5,2,75438
364,8,1,43538
364,2,4,73660
365,3,2,77546
366,8,5,217690
366,3,5,193865
366,2,1,18415
366,3,3,116319
367,9,2,89730
367,6,1,20473
367,10,4,193552
368,2,5,92075
368,6,1,20473
369,8,3,130614
369,9,2,89730
369,9,5,224325
369,4,3,89268
370,7,5,145905
370,10,2,96776
371,2,3,55245
371,2,4,73660
372,4,3,89268
372,8,1,43538
373,7,3,87543
373,4,4,119024
374,6,2,40946
374,10,2,96776
374,4,1,29756
374,7,1,29181
375,5,3,113157
375,9,3,134595
376,8,3,130614
376,3,4,155092
377,5,1,37719
377,2,2,36830
378,2,1,18415
378,10,2,96776
378,1,3,143910
378,8,3,130614
379,10,1,48388
380,10,4,193552
381,3,1,38773
381,10,5,241940
382,8,4,174152
383,2,4,73660
383,8,4,174152
383,2,3,55245
384,3,1,38773
384,2,4,73660
384,2,3,55245
385,10,3,145164
385,6,3,61419
385,8,1,43538
386,9,4,179460
386,9,1,44865
386,8,3,130614
387,9,5,224325
387,6,4,81892
387,6,5,102365
387,4,3,89268
388,1,4,191880
389,9,1,44865
389,10,4,193552
389,4,2,59512
390,5,4,150876
391,8,4,174152
392,5,1,37719
392,1,3,143910
393,4,3,89268
394,3,1,38773
394,9,4,179460
394,5,4,150876
395,1,2,95940
395,8,5,217690
395,4,2,59512
395,10,2,96776
396,1,3,143910
396,9,1,44865
397,10,1,48388
397,1,4,191880
397,3,2,77546
397,4,4,119024
398,9,4,179460
398,8,3,130614
399,3,1,38773
399,3,1,38773
400,10,5,241940
400,2,5,92075
400,6,4,81892
401,8,2,87076
402,5,2,75438
402,2,5,92075
403,10,2,96776
403,3,4,155092
403,5,4,150876
403,10,2,96776
404,7,5,145905
404,9,3,134595
404,10,1,48388
405,9,4,179460
405,4,4,119024
406,5,4,150876
406,1,3,143910
407,5,1,37719
408,9,2,89730
408,8,5,217690
408,5,2,75438
408,2,3,55245
409,2,2,36830
410,4,3,89268
410,10,4,193552
411,3,2,77546
412,9,5,224325
412,2,1,18415
412,1,2,95940
413,9,1,44865
413,2,5,92075
413,6,3,61419
413,8,3,130614
414,5,4,150876
415,3,2,77546
415,8,5,217690
415,4,2,59512
416,7,4,116724
416,8,1,43538
417,5,5,188595
417,4,3,89268
418,3,4,155092
418,4,2,59512
418,2,5,92075
419,8,1,43538
419,9,3,134595
419,8,1,43538
419,7,2,58362
420,10,4,193552
420,9,4,179460
421,2,3,55245
422,8,4,174152
423,8,2,87076
423,6,1,20473
424,10,5,241940
424,1,4,191880
424,9,4,179460
425,7,4,116724
425,8,4,174152
425,8,2,87076
425,6,2,40946
426,9,2,89730
426,3,2,77546
426,7,1,29181
427,10,3,145164
427,3,2,77546
427,1,5,239850
428,4,5,148780
428,4,5,148780
428,1,4,191880
429,2,1,18415
430,8,2,87076
430,3,2,77546
430,6,3,61419
431,10,2,96776
431,9,3,134595
431,5,3,113157
432,1,2,95940
432,5,5,188595
432,7,1,29181
432,2,3,55245
433,2,5,92075
434,9,2,89730
434,5,3,113157
435,3,2,77546
435,10,1,48388
435,9,5,224325
436,5,5,188595
437,4,3,89268
437,5,5,188595
437,10,1,48388
438,9,3,134595
438,6,3,61419
439,10,4,193552
439,9,4,179460
439,4,1,29756
440,5,1,37719
440,9,1,44865
440,10,3,145164
440,5,2,75438
441,3,5,193865
442,2,5,92075
443,2,5,92075
443,1,4,191880
443,6,3,61419
444,6,1,20473
444,9,3,134595
444,2,5,92075
445,8,5,217690
445,8,4,174152
445,8,1,43538
445,4,3,89268
446,1,3,143910
446,4,3,89268
446,1,5,239850
447,4,1,29756
447,9,4,179460
448,5,5,188595
448,3,1,38773
449,7,4,116724
449,8,5,217690
449,7,4,116724
450,3,1,38773
451,10,2,96776
451,10,4,193552
451,1,4,191880
452,10,2,96776
452,8,4,174152
452,3,4,155092
452,4,5,148780
453,8,2,87076
453,9,1,44865
454,4,2,59512
454,4,5,148780
454,10,5,241940
454,8,2,87076
455,10,2,96776
455,5,4,150876
455,5,4,150876
455,8,1,43538
456,6,2,40946
456,2,5,92075
456,7,4,116724
456,4,3,89268
457,1,1,47970
457,5,5,188595
457,10,2,96776
457,2,1,18415
458,1,4,191880
458,5,3,113157
458,3,4,155092
458,8,1,43538
459,3,2,77546
460,7,1,29181
460,10,1,48388
461,9,1,44865
461,10,3,145164
461,4,1,29756
462,4,1,29756
462,5,2,75438
463,6,3,61419
463,8,3,130614
464,8,1,43538
464,8,2,87076
464,2,4,73660
464,5,2,75438
465,9,4,179460
465,2,4,73660
465,2,2,36830
465,5,4,150876
466,5,4,150876
466,10,2,96776
466,8,4,174152
467,8,3,130614
467,8,2,87076
467,1,2,95940
467,2,1,18415
468,10,2,96776
468,2,5,92075
468,8,5,217690
469,2,1,18415
470,7,3,87543
470,3,2,77546
470,8,1,43538
470,6,2,40946
471,8,4,174152
471,7,3,87543
471,9,1,44865
472,10,3,145164
472,8,2,87076
473,6,4,81892
473,5,5,188595
474,8,4,174152
475,9,1,44865
476,9,2,89730
476,6,3,61419
476,1,1,47970
476,5,2,75438
477,9,1,44865
477,9,4,179460
477,7,5,145905
477,9,5,224325
478,5,5,188595
478,6,1,20473
478,4,4,119024
478,10,3,145164
479,1,5,239850
479,3,2,77546
480,8,2,87076
480,1,3,143910
480,6,4,81892
481,10,4,193552
481,8,3,130614
482,1,2,95940
482,8,4,174152
482,5,4,150876
483,9,2,89730
483,7,1,29181
483,8,4,174152
484,9,5,224325
484,6,3,61419
485,1,3,143910
486,6,4,81892
486,7,1,29181
487,1,2,95940
487,2,4,73660
487,7,3,87543
487,9,1,44865
488,6,3,61419
488,8,3,130614
488,5,2,75438
489,10,5,241940
489,9,2,89730
490,7,3,87543
490,7,1,29181
491,8,3,130614
491,7,4,116724
491,3,5,193865
492,5,1,37719
493,9,5,224325
493,2,3,55245
493,1,4,191880
494,2,2,36830
494,6,3,61419
494,2,4,73660
495,6,5,102365
495,4,3,89268
495,3,3,116319
496,2,2,36830
496,6,3,61419
496,8,4,174152
496,10,4,193552
497,4,3,89268
497,3,1,38773
497,2,3,55245
498,3,2,77546
498,10,1,48388
498,3,1,38773
498,6,2,40946
499,1,2,95940
499,4,3,89268
499,8,2,87076
499,10,2,96776
500,5,4,150876
500,7,4,116724
501,10,1,48388
502,5,5,188595
502,1,2,95940
503,3,2,77546
503,2,4,73660
503,9,2,89730
504,3,4,155092
504,9,1,44865
504,7,3,87543
505,8,1,43538
505,7,4,116724
505,5,4,150876
506,10,3,145164
506,9,4,179460
506,4,5,148780
506,2,4,73660
507,1,4,191880
507,1,2,95940
507,7,3,87543
508,5,4,150876
508,3,4,155092
508,3,3,116319
508,4,5,148780
509,7,2,58362
509,3,2,77546
509,8,1,43538
510,7,1,29181
510,10,2,96776
511,7,1,29181
511,7,5,145905
511,9,5,224325
512,8,1,43538
513,9,2,89730
513,9,4,179460
513,1,3,143910
514,3,5,193865
514,9,3,134595
514,3,4,155092
515,10,3,145164
516,9,3,134595
516,1,3,143910
517,7,1,29181
518,8,5,217690
518,4,3,89268
518,4,1,29756
519,3,3,116319
519,1,5,239850
520,10,3,145164
520,5,1,37719
520,3,4,155092
520,3,1,38773
521,2,4,73660
521,4,1,29756
521,4,3,89268
521,10,1,48388
522,5,1,37719
522,6,1,20473
522,4,1,29756
522,5,4,150876
523,10,1,48388
524,10,1,48388
525,7,5,145905
525,3,5,193865
525,10,1,48388
526,1,2,95940
526,1,2,95940
527,1,1,47970
527,3,3,116319
527,8,4,174152
527,3,3,116319
528,1,2,95940
528,6,5,102365
528,6,3,61419
528,10,5,241940
529,10,2,96776
530,8,1,43538
531,4,4,119024
531,9,4,179460
532,3,4,155092
533,6,1,20473
533,10,1,48388
533,10,5,241940
534,4,3,89268
534,6,1,20473
534,9,3,134595
534,10,3,145164
535,10,4,193552
535,1,2,95940
535,4,5,148780
536,7,1,29181
536,9,2,89730
536,3,1,38773
537,10,4,193552
538,8,4,174152
538,3,1,38773
539,8,5,217690
540,5,1,37719
540,4,5,148780
540,10,1,48388
540,5,3,113157
541,8,5,217690
542,4,2,59512
542,4,1,29756
542,9,3,134595
543,4,3,89268
543,1,5,239850
544,3,4,155092
544,8,3,130614
544,5,4,150876
544,9,5,224325
545,10,2,96776
545,6,5,102365
546,8,5,217690
546,2,3,55245
546,6,4,81892
547,1,5,239850
547,4,5,148780
547,6,1,20473
548,9,5,224325
548,6,4,81892
548,1,5,239850
549,6,4,81892
549,4,2,59512
550,7,1,29181
550,3,2,77546
550,7,1,29181
550,4,2,59512
551,6,1,20473
551,9,1,44865
551,10,3,145164
552,10,1,48388
552,9,4,179460
552,7,4,116724
552,1,1,47970
553,5,2,75438
553,4,3,89268
553,5,4,150876
553,6,5,102365
554,8,3,130614
554,8,2,87076
555,8,3,130614
555,3,4,155092
555,2,4,73660
555,6,3,61419
556,9,2,89730
556,2,1,18415
557,4,2,59512
557,5,2,75438
558,1,4,191880
558,1,1,47970
558,4,2,59512
558,7,1,29181
559,7,4,116724
559,8,3,130614
559,3,2,77546
560,5,5,188595
560,4,4,119024
560,10,4,193552
561,5,4,150876
561,9,3,134595
561,6,5,102365
562,4,1,29756
562,7,4,116724
562,10,5,241940
563,9,4,179460
563,8,5,217690
564,10,5,241940
564,6,3,61419
564,10,3,145164
564,2,5,92075
565,1,3,143910
566,10,5,241940
566,7,2,58362
567,9,2,89730
567,9,5,224325
568,4,1,29756
568,7,5,145905
569,9,2,89730
569,7,5,145905
569,5,5,188595
569,8,1,43538
570,10,3,145164
570,6,5,102365
570,5,3,113157
570,7,4,116724
571,10,1,48388
571,6,5,102365
571,2,3,55245
571,8,3,130614
572,6,3,61419
573,3,2,77546
573,3,3,116319
573,4,2,59512
573,8,2,87076
574,1,4,191880
574,4,4,119024
575,10,5,241940
575,9,2,89730
575,9,4,179460
576,9,4,179460
577,6,4,81892
577,5,2,75438
577,3,1,38773
578,6,3,61419
579,5,4,150876
579,4,5,148780
579,4,4,119024
579,9,3,134595
580,10,3,145164
580,1,2,95940
581,7,2,58362
581,6,5,102365
582,10,5,241940
583,2,2,36830
583,6,4,81892
583,1,3,143910
584,2,5,92075
584,4,3,89268
585,4,2,59512
585,6,3,61419
586,2,3,55245
587,3,1,38773
587,8,3,130614
588,6,2,40946
588,2,5,92075
589,10,2,96776
589,8,2,87076
590,8,1,43538
591,3,1,38773
592,3,5,193865
592,4,4,119024
593,2,4,73660
593,6,3,61419
593,5,2,75438
594,10,3,145164
594,8,2,87076
595,10,2,96776
595,7,4,116724
595,1,3,143910
596,8,4,174152
596,3,3,116319
596,3,3,116319
597,4,5,148780
597,9,4,179460
597,9,1,44865
597,10,3,145164
598,5,4,150876
598,2,2,36830
598,8,2,87076
599,8,5,217690
599,2,4,73660
599,5,5,188595
600,10,2,96776
600,4,2,59512
600,6,5,102365
601,2,4,73660
602,1,4,191880
602,1,2,95940
603,8,4,174152
603,9,5,224325
603,3,4,155092
604,6,3,61419
604,9,3,134595
604,6,5,102365
605,8,3,130614
605,3,2,77546
605,7,2,58362
606,3,3,116319
606,5,5,188595
606,4,3,89268
606,2,1,18415
607,4,5,148780
608,5,1,37719
608,2,2,36830
609,4,4,119024
609,8,3,130614
610,8,5,217690
610,8,1,43538
610,10,4,193552
610,7,3,87543
611,8,3,130614
611,7,2,58362
611,1,2,95940
612,5,3,113157
613,3,3,116319
614,9,3,134595
614,8,2,87076
614,8,3,130614
615,7,3,87543
